Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
hSpZSqElyjHTfE4lQJ97Cg,2022-10-10 21:00:33.070412,Mareluna,italian,5,40,137 Sullivan St,10012,40.72686027756351,-74.00191202883569
E48WbksxAk19a8vjJRVIVQ,2022-10-10 21:00:33.071934,Ramerino Italian Prime,italian,5,4,16 E 39th St,10016,40.75107,-73.98135
hkooeEkd3oPsLD6JJrYpjA,2022-10-10 21:00:33.071964,Café Luce,italian,4.5,66,235 E 53rd St,10022,40.757323,-73.967928
8oO6j7AlnAbMSJs9Oj9GIw,2022-10-10 21:00:33.072120,Osteria Delbianco,italian,4.5,143,22 East 49th St,10017,40.7573689002,-73.9764462233
OWNmOq-TAsHjGcYdCVclSw,2022-10-10 21:00:33.072148,Osteria La Baia,italian,4.5,39,129 W 52nd St,10019,40.76189587672743,-73.9806749
R3gSQGB3aEmVpwbKIgOPqg,2022-10-10 21:00:33.072170,Fabio Cucina Italiana,italian,4.5,364,214 E 52nd St,10022,40.7565655024,-73.9693792051
26emJlm1YMFyOCezfgVk4g,2022-10-10 21:00:33.072197,Da Raffaele,italian,4.5,206,883 First Ave,10022,40.7535386913133,-73.9666010811925
h37t9rA06Sr4EetJjKrfzw,2022-10-10 21:00:33.072219,Don Angie,italian,4.5,597,103 Greenwich Ave,10014,40.73778,-74.00197
GjEE8vvjqb7eeHA3BGNxAw,2022-10-10 21:00:33.072239,Barolo East,italian,4.5,237,214 E 49th St,10017,40.75481,-73.97059
Dng_LID2JNnc6M6A1FB19Q,2022-10-10 21:00:33.072259,Come Prima Ristorante,italian,4.5,99,903 Madison Ave,10021,40.7721165011105,-73.965037390213
VmdyRRMtUXOWV7F7w0ImwQ,2022-10-10 21:00:33.072281,Piccola Cucina Uptown,italian,4.5,232,106 E 60th St,10022,40.763174,-73.969046
fFIQ8Rx4x1Z34kFJcmlVzQ,2022-10-10 21:00:33.072301,Cacio E Pepe,italian,4.5,44,1479 York Ave,10075,40.77090864674996,-73.95098168604862
vVVmHacu2YAxKfpIjhfd1g,2022-10-10 21:00:33.072347,Norma,italian,4.5,560,438 3rd Ave,10016,40.743553,-73.980026
hzPBADaUBQEL30MGrvKsww,2022-10-10 21:00:33.072366,Il Tinello Ristorante Italiano,italian,4.5,305,16 W 56th St,10019,40.76256,-73.97566
cl97uG2_QtiMBah-_s9w7g,2022-10-10 21:00:33.072386,Il Divo,italian,4.5,93,1347 2nd Ave At E 71st St,10021,40.76816,-73.959204
16ZnHpuaaBt92XWeJHCC5A,2022-10-10 21:00:33.072406,Olio e Più,italian,4.5,3647,3 Greenwich Ave,10014,40.733798036104304,-73.99977392649927
Fit_iIDn__NPVZpVlKFBFQ,2022-10-10 21:00:33.072430,Osteria 106,italian,4.5,189,53 W 106 St,10025,40.79894,-73.96174
RXCCofQw1EjTcSN0ZeXfRA,2022-10-10 21:00:33.072449,Risotteria Melotti NYC,italian,4.5,369,309 E 5th St,10003,40.726673363853,-73.9880919456482
rp8S7scxOkVVeG7dNneMGQ,2022-10-10 21:00:33.072471,L'Artusi,italian,4.5,2147,228 W 10th St,10014,40.73372,-74.00513
LkV96_buOU_n0br4SBO57w,2022-10-10 21:00:33.072490,Ci Siamo,italian,4.5,169,440 West 33rd St,10001,40.75240549384363,-73.9982864846782
qBGKigOGn_flCx1apxPzlA,2022-10-10 21:00:33.072512,Piccola Cucina Osteria,italian,4.5,701,196 Spring St,10012,40.72506,-74.00322
7cjT33LfYSk7vrRdEaSr4w,2022-10-10 21:00:33.072531,Angeletto Restaurant,italian,4.5,280,890 2nd Ave,10017,40.753188,-73.969365
WG639VkTjmK5dzydd1BBJA,2022-10-10 21:00:33.072551,Rubirosa,italian,4.5,2780,235 Mulberry St,10012,40.722766,-73.996233
JLpEKUYAtzBRQwsUL3RPIA,2022-10-10 21:00:33.072571,Il Corso,italian,4.5,404,54 W 55th St,10019,40.762441,-73.977206
HpxYBu1ARzOGvuUcLJe54g,2022-10-10 21:00:33.072590,Giardino 54,italian,4.5,171,402 W 54th St,10019,40.7661,-73.98763
hdiuRS9sVZSMReZm4oV5SA,2022-10-10 21:00:33.072610,Da Andrea,italian,4.5,1591,35 W 13th St,10011,40.736218,-73.99597
z7H9ApIGopnDnQaglnPTzg,2022-10-10 21:00:33.072629,Allora Ristorante,italian,4.5,716,145 E 47th St,10017,40.75433,-73.97277
aLM9irVFlNoVlS9dGuW_Lg,2022-10-10 21:00:33.072648,Amata,italian,4,90,209 E 56th St,10022,40.759426,-73.967063
TzVVPWK_4dhdSEpNqZwIhQ,2022-10-10 21:00:33.072670,Toscana 49,italian,4,311,143 East 49 St,10017,40.7556957079225,-73.9717184007168
5TX0X8w5ssIACU_pnBEq6g,2022-10-10 21:00:33.072707,Tony's Di Napoli,italian,4,2383,147 W 43rd St,10036,40.75641,-73.98547
V-FCEicobl5Su-R7EVJQNA,2022-10-10 21:00:33.072727,La Lanterna Di Vittorio,italian,4,1599,129 MacDougal St,10012,40.73069,-74.00015
3qIISjUYn1tbqHXi7nCLXg,2022-10-10 21:00:33.072746,Sofia Wine Bar,italian,4,722,242 E 50th St,10022,40.75502,-73.96913
raqwXUBlnc0e8c7CYmxEJQ,2022-10-10 21:00:33.072765,Scarpetta,italian,4,2158,88 Madison Ave,10016,40.744509,-73.9856
DoSU8IPq-Py_YV3kYmXPfQ,2022-10-10 21:00:33.072785,Trattoria Trecolori,italian,4,2555,254 West 47th St,10036,40.759876,-73.986767
OCTiJwvjoK81WoDwsTkFvA,2022-10-10 21:00:33.072804,Paesano of Mulberry Street,italian,4,1247,136 Mulberry St,10013,40.718554,-73.997447
xsQTIeq-WLkp4ParkTQpMQ,2022-10-10 21:00:33.072824,PizzArte,italian,4,1216,69 W 55th St,10019,40.7629335072372,-73.9776668697596
